#{"t_start": 1748360455.3771858, "env_id": "None"}
r,l,t
146.630217,50,39.848764
145.083354,54,39.932133
145.130217,50,40.005718
146.629827,51,40.08815
145.130217,53,40.181449
142.782401,53,40.257922
144.279232,57,40.330456
145.879827,53,40.408521
145.030252,59,40.493611
144.378851,60,40.592524
145.129241,58,40.666764
144.27883,58,40.744598
146.629632,53,40.826593
146.629827,51,40.898572
143.629241,58,40.986957
145.129827,54,41.073495
145.129241,55,41.163521
145.034773,57,41.242374
144.379241,55,41.316095
145.879436,54,41.40043
145.880412,49,41.47033
147.380412,48,41.546037
145.129436,56,43.761614
143.53518,52,43.838108
145.779232,54,43.915426
145.129827,51,44.001374
145.880022,50,44.090174
144.380022,53,44.163526
145.879827,52,44.240138
145.78055,52,44.319068
145.880217,49,44.405999
144.933192,48,44.494768
-66.305612,43,44.552634
146.630412,48,44.625412
146.630217,50,44.709726
144.280748,52,44.796754
146.630412,48,44.869752
143.527013,59,44.949757
143.389029,52,45.024537
146.630608,49,45.1087
145.129632,56,45.187284
145.130022,53,45.280592
145.783231,52,45.372326
145.129241,57,45.447787
145.083753,52,45.523514
145.129436,55,45.598838
145.880412,49,45.67232
145.130412,49,45.763636
145.879827,53,45.84461
145.879436,53,45.928721
145.879827,52,46.006978
142.881193,51,46.086319
-82.003789,21,46.11646
146.629632,51,46.186677
147.380022,50,46.269051
145.036145,50,46.356251
146.629827,51,46.439388
-66.802987,43,46.505907
145.781627,52,46.592528
144.379827,53,46.66449
146.629632,52,46.742194
145.029815,51,46.814046
145.880217,50,46.889338
144.286145,50,49.150184
147.379827,50,49.236811
144.380412,53,49.319955
145.030018,50,49.397347
-64.706527,43,49.460446
146.630217,50,49.54873
145.130412,49,49.62012
145.880217,50,49.693219
145.880412,49,49.766359
145.880803,49,49.841738
146.532602,50,49.915723
145.036728,48,49.994293
-82.753593,21,50.026865
145.880217,50,50.096404
146.629436,53,50.17031
145.879827,51,50.254047
145.778,49,50.325443
145.880022,50,50.399777
144.180544,51,50.474402
145.130217,52,50.548834
147.380217,49,50.618678
145.880803,48,50.693928
145.880803,48,50.779532
146.630217,49,50.866895
145.028393,49,50.954993
145.130217,51,51.04768
145.030748,51,51.119259
146.630412,48,52.520073
144.188563,48,52.588744
-83.503789,23,52.619658
146.630412,49,52.689331
143.630412,52,52.757437
144.379436,56,52.831313
146.532,49,52.909383
145.880217,50,52.982865
145.880412,49,53.057657
145.879436,53,53.139871
144.379827,56,53.211452
145.880608,48,53.27986
145.880217,50,53.353691
144.279771,51,53.423519
145.880217,50,53.495731
146.630022,49,55.160149
145.880608,49,55.195053
145.880217,50,55.283458
146.629827,50,55.358036
144.380412,51,55.430591
145.880412,49,55.508924
145.880998,48,55.579659
145.130022,51,55.672727
144.380217,52,55.762211
146.630412,48,55.841413
144.283428,53,55.93131
145.834542,47,56.001225
146.630217,49,56.067811
-65.457113,47,56.123388
145.880412,49,56.203077
146.531846,50,56.278546
144.380022,53,56.351372
145.084344,48,56.432314
145.879632,52,56.529104
144.379632,54,56.604214
145.032995,49,56.675753
143.535752,55,56.755633
146.630217,49,56.828485
145.879827,52,56.90648
146.630412,48,56.979422
145.879827,51,57.052473
146.53055,51,57.123677
146.630608,48,57.192708
145.880217,49,57.260378
147.380022,49,57.346559
145.130608,49,57.4226
145.782218,49,57.498062
147.380217,49,57.5689
145.777211,55,57.639477
145.036533,49,57.713931
-82.753593,21,57.744452
145.879827,51,57.826694
144.184235,53,57.898849
145.739503,46,57.971578
145.880217,50,58.047159
145.880217,50,58.11734
147.380022,49,58.187104
146.630217,49,60.683629
145.785554,52,60.761986
145.130412,51,60.838063
143.630217,52,60.912872
146.630412,49,60.987124
-66.503976,40,61.041728
146.630217,49,61.107553
146.533509,49,61.176512
146.533509,49,61.256498
147.380217,48,61.33812
-82.753593,21,61.369548
145.879827,52,61.440212
145.880217,50,61.521558
145.085507,48,61.610313
145.880022,53,61.67917
144.284296,49,61.759011
145.782192,50,61.837178
146.629827,52,61.920278
146.629436,52,61.990379
145.129632,52,62.061309
146.629632,51,62.143992
145.130412,49,62.22239
145.880217,49,62.292885
144.986425,49,62.373652
145.879827,53,62.449619
145.879827,53,62.53744
147.380217,48,62.619128
146.53094,49,62.700006
145.880022,51,62.787418
145.880608,49,62.863019
145.130022,51,62.935298
147.380217,49,63.005493
145.783231,53,63.077443
145.03319,49,63.149773
146.630412,48,63.216974
146.630412,48,63.285429
146.630217,49,63.358576
145.880217,49,63.431967
147.380217,48,63.504813
146.629436,53,63.582776
145.880217,49,63.652786
146.630412,48,66.251807
143.529771,53,66.331731
145.130608,49,66.401857
144.282833,48,66.469869
145.130803,48,66.55024
146.532794,49,66.624411
147.380217,48,66.698102
145.880217,49,66.781298
144.282393,49,66.85552
145.880217,52,66.929888
147.380022,50,66.996449
146.630217,49,67.045911
145.880608,48,67.08009
146.630412,49,67.17797
145.880412,49,67.262842
144.277808,52,67.342155
146.630217,49,67.417454
145.880217,50,67.501367
145.880412,49,67.575979
145.031138,49,67.645944
145.880412,50,67.728336
144.282198,50,67.802964
145.028591,47,67.880221
146.630022,49,67.947911
146.630022,49,68.016211
145.781822,50,68.085535
145.880608,48,68.151326
146.630217,49,68.220485
146.630608,48,68.298771
145.880217,50,68.393131
145.129436,55,68.47603
145.032221,49,68.554189
146.629827,50,68.625689
145.032026,50,68.695446
146.630022,50,68.76634
145.880022,50,68.843718
145.880412,50,68.918576
145.031331,50,69.012772
146.630412,48,69.084487
146.630412,48,69.152148
145.880608,48,69.220031
145.880412,49,69.2932
146.630608,48,71.622785
146.630412,48,71.674331
145.880608,48,71.747652
146.630803,48,71.816599
145.880217,49,71.883614
145.130998,48,71.954456
147.380022,49,72.036164
146.528,50,72.106634
145.880608,48,72.189756
146.630412,48,72.254507
147.380803,48,72.332448
145.835309,48,72.40356
145.880217,50,72.484497
145.880412,49,72.55164
145.130412,49,72.619984
146.630412,48,72.697413
146.630217,49,72.771378
145.880608,48,72.848789
146.629632,52,72.926489
146.630412,48,73.00262
147.284293,48,73.078962
145.880412,49,73.152554
147.380022,49,73.219991
146.630217,49,73.28968
146.630217,49,73.368566
146.630217,49,73.441525
145.78202,49,73.513177
145.880217,50,73.582061
146.630022,49,73.650642
145.880608,48,73.719849
146.529818,49,73.797585
-82.003789,21,73.824702
147.380217,48,73.891672
145.879632,51,73.966049
145.130022,51,74.034024
145.880022,50,74.101968
147.380022,49,74.170013
146.585504,48,74.236385
145.028,49,74.304197
145.130217,51,74.372546
146.630217,49,74.439226
-82.003789,21,74.466145
147.380022,49,74.513348
145.880803,49,76.729657
146.630217,50,76.812863
145.130022,51,76.893
146.630412,48,76.968194
145.784206,48,77.038378
146.630412,48,77.10288
145.130022,51,77.169019
144.381193,48,77.239557
145.880022,51,77.32493
147.380217,49,77.39816
146.630412,48,77.469311
145.880803,48,77.54019
145.785749,50,77.612099
147.379827,50,77.67854
145.777997,48,77.762351
145.130217,50,77.841523
145.880412,49,77.91378
145.880608,48,77.98294
145.880022,53,78.070385
146.630022,51,78.145827
147.379632,51,78.221296
146.630022,50,78.296763
145.130022,51,78.368067
146.630217,49,78.455575
146.630803,48,78.543699
146.630217,49,78.611563
145.880217,49,78.681489
146.585504,47,78.748781
145.880022,51,78.824623
145.033621,50,78.90004
145.129827,52,78.976476
145.130412,49,79.053619
145.033426,53,79.133462
145.880412,49,79.211586
147.380022,49,79.321519
145.130412,49,79.400342
145.783385,48,79.480688
145.786142,49,79.561638
146.630022,50,79.636528
146.630412,48,79.709228
146.630217,49,79.779913
146.630022,50,82.034266
-63.956917,44,82.092086
146.629827,51,82.169813
146.630412,48,82.25362
146.630217,50,82.324459
146.630412,48,82.394828
146.630022,49,82.467431
146.630412,49,82.536064
147.380412,48,82.616937
147.380022,49,82.696062
146.630608,48,82.786229
147.379632,51,82.863111
-65.004366,40,82.918579
146.630412,48,82.987295
146.630412,48,83.059388
146.630412,48,83.130701
147.380217,48,83.210662
146.630608,48,83.287068
147.380412,48,83.361576
146.630022,49,83.440187
146.630412,48,83.51023
146.630022,49,83.593001
146.630608,48,83.659012
-82.003789,21,83.685255
145.777997,49,83.761741
147.380022,49,83.835521
146.535373,47,83.923311
146.630022,49,83.995011
147.380412,48,84.074613
146.630412,49,84.143306
145.880608,48,84.212797
147.380217,48,84.287989
145.028195,49,84.357549
146.630217,49,84.432295
146.629827,50,84.511519
145.880803,48,84.592354
146.630217,49,84.68661
147.380217,48,84.766071
147.380217,48,84.848753
146.630412,48,84.925555
145.781828,50,84.997751
145.880608,48,85.080653
146.630412,48,85.160386
147.380217,48,87.381513
145.781456,55,87.46616
146.630217,49,87.542641
147.380217,48,87.612837
146.630022,50,87.689336
146.630412,48,87.762511
146.630412,48,87.840255
145.879827,52,87.917844
